ts,source,fetch_ok,total_items,total_weight,israel_items,israel_weight,attention_share,mean_sentiment,w_n2,w_n1,w_0,w_p1,w_p2,w_u
2026-09-01T03:45:31Z,thetimes,1,93,55,1,3,0.05455,-1.0,,,,,,
2026-09-01T03:45:31Z,dailymail,1,303,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,dw,1,38,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T03:45:31Z,lemonde,1,38,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,lefigaro,1,185,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,spiegel,1,163,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,bild,1,177,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,elpais,0,0,0,0,0,,,,,,,,
2026-09-01T03:45:31Z,corriere,1,237,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,cbc,1,30,55,0,0,0.0,,,,,,,
2026-09-01T03:45:31Z,abcau,1,76,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,nyt,1,32,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,nypost,1,164,55,1,1,0.01818,1.0,,,,,,
2026-09-01T04:45:20Z,cnn,1,46,55,1,1,0.01818,-1.0,,,,,,
2026-09-01T04:45:20Z,foxnews,1,127,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,nbcnews,1,49,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,newsweek,1,79,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,bbc,1,29,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,guardian,1,38,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,thetimes,1,93,55,1,3,0.05455,-1.0,,,,,,
2026-09-01T04:45:20Z,dailymail,1,303,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,dw,1,37,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T04:45:20Z,lemonde,1,38,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,lefigaro,1,180,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,spiegel,1,166,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,bild,1,176,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,elpais,0,0,0,0,0,,,,,,,,
2026-09-01T04:45:20Z,corriere,1,237,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,cbc,1,30,55,0,0,0.0,,,,,,,
2026-09-01T04:45:20Z,abcau,1,79,55,0,0,0.0,,,,,,,
2026-09-01T05:45:20Z,nyt,1,31,55,0,0,0.0,,,,,,,
2026-09-01T05:45:20Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T05:45:20Z,nypost,1,164,55,1,3,0.05455,1.0,,,,,,
2026-09-01T05:45:20Z,cnn,1,46,55,1,1,0.01818,-1.0,,,,,,
